Profissão,"Masculino, Todas as Cores","Feminino, Todas as Cores","Feminino, Cor Branca","Masculino, Cor
Coletadores de Apostas e de Jogos,992.05,988.94,989.34,0.9968650774
Cobradores e Afins,1041.97,993.24,1009.56,0.9532328186
Recepcionistas,1149.61,1114.83,1122.03,0.9697462618
Telefonistas,1191.42,1081.79,1107.14,0.9079837505
Operadores de Telemarketing,942.56,932.9,935.97,0.9897513156
Despachantes Documentalistas,1152.41,922.25,1117.14,0.8002794144
"Entrevistadores, Recenseadores e Afins",1284.03,1185.35,1232.27,0.923148213
"Supervisores dos Servicos de Transporte, Turismo, Hotelaria e Administracao e Edificios",1933.81,1776.72,1889.48,0.91876658
Supervisores dos Servicos de Saude e Cuidados Pessoais,1891.01,1582.73,1750.07,0.8369760075
"Supervisores dos Servicos de Protecao, Seguranca e Outros",2004.72,1919.28,1997.4,0.9573805818
Trabalhadores dos Servicos Diretos Aos Passageiros,1454.57,1235,1348.68,0.8490481723
Fiscais e Cobradores dos Transportes Publicos,1134.72,1106.17,1128.21,0.974839608
Guias de Turismo,1135.56,1168.74,1145.02,1.029219064
Condutores de Turismo,970,0,970,0
Trabalhadores dos Servicos Domesticos em Geral,1051.64,997.89,1018.7,0.9488893538
Mordomos e Governantas,1295.04,1546.23,1481.35,1.193963121
Cozinheiros,1225.6,1101.26,1142.48,0.8985476501
"Camareiros, Roupeiros e Afins",1095.93,1087.26,1088.19,0.9920889108
"Garcons, Barmen, Copeiros e Sommeliers",1068.23,1031.76,1048.56,0.9658594123
Trabalhadores Auxiliares nos Servicos de Alimentacao,1078.33,1054,1063.07,0.9774373337
"Churrasqueiros, Pizzaiolos e Sushimen",1220.09,1124.54,1213.38,0.9216861051
Trabalhadores nos Servicos de Administracao de Edificios,1176.27,992.44,1101.24,0.8437178539
Trabalhadores nos Servicos de Manutencao e Conservacao de Edificios e Logradouros,1060.87,995.4,1030.37,0.9382865007
Trabalhadores nos Servicos de Manutencao de Edificacoes,1078.52,996.7,1027.82,0.92413678
"Agentes Comunitarios de Saude, Parteiras Praticas e Afins",1138.9,1185.05,1163.15,1.040521556
Auxiliares de Laboratorio da Saude,1195.34,1146.01,1162.09,0.958731407
"Trabalhadores de Atencao, Defesa e Protecao a Pessoas em Situacao de Risco",1413.33,1459.33,1438.23,1.032547247
Trabalhadores nos Servicos de Higiene e Embelezamento,1146.01,1062.52,1077.45,0.9271472326
"Cuidadores de Criancas, Jovens, Adultos e Idosos",1079.59,1065.06,1067.32,0.9865411869
"Tintureiros, Lavadeiros e Afins, À Maquina",1085.19,1056.79,1069.43,0.9738294677
"Tintureiros, Lavandeiros e Afins, À Mao",1076.7,1064.55,1068.3,0.9887155196
Trabalhadores dos Servicos Funerarios,1189.54,1099.88,1179.55,0.9246263261
Trabalhadores Auxiliares dos Servicos Funerarios,1234.31,1085.58,1229.81,0.8795035283
Esotericos e Paranormais,R$0.00,1122.67,1122.67,
Bombeiros e Salva-Vidas,1504.63,1590.43,1515.5,1.057023986
"Policiais, Guardas-Civis Municipais e Agentes de Transito",1205.32,1042.6,1167.24,0.8649985066
Vigilantes e Guardas de Seguranca,1314.63,1377.03,1321.37,1.047465827
"Porteiros, Guardas e Vigias",1153.84,1162.69,1154.62,1.007670041
Motociclistas e Ciclistas de Entregas Rapidas,1061.05,1033.29,1060.41,0.9738372367
Catadores de Sucata,1129.55,1087.65,1120.63,0.9629055819
"Trabalhadores de Servicos Veterinarios, de Higiene e Estetica de Animais Domesticos",1144.8,1111.77,1123.44,0.9711477987
Outros Trabalhadores dos Servicos,1113.58,1088.64,1110.4,0.9776037644
Supervisores de Vendas e de Prestacao de Servicos,2678.82,2156.32,2475.95,0.8049514338
Vendedores e Demonstradores em Lojas ou Mercados,1125.21,1092.77,1108.13,0.9711698261
Instaladores de Produtos e Acessorios,1231.31,1135.16,1228.68,0.9219124347
Vendedores em Domicilio,1253.62,1182.7,1227.81,0.943427833
Vendedores em Quiosques e Barracas,1130.89,1090.75,1111.8,0.9645058317
Vendedores Ambulantes,1249.16,1170.83,1222.08,0.9372938615
Produtores Agropecuarios em Geral,1058.24,964.63,1038.8,0.9115418053
Produtores Agricolas Polivalentes,1121.49,991.35,1110.53,0.8839579488
Produtores Agricolas na Cultura de Gramineas,1220.44,1016.13,1180.25,0.8325931631
